Name	Artist	Composer	Album	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	Skip Count	Last Skipped	My Rating	Location
It's ok I'm ok	Tate McRae		It's ok I'm ok - Single			156																			
Jealous Type	Doja Cat		Vie			163																			
Just the Way You Are	Bruno Mars		Doo-Wops & Hooligans (Deluxe)			220																			
Keep Holding On	Avril Lavigne		The Best Damn Thing (Expanded Edition)			239																			
Kiss of Life	Sade		Love Deluxe			350																			
ladybug	Chris LaRocca		ladybug - Single			123																			
Last Train (feat. Oh Yun)	Dept		Before Sunset			184																			
Lean On (feat. DJ Snake & MØ)	Major Lazer		Peace Is The Mission (Extended)			176																			
Lighters (feat. Bruno Mars)	Bad Meets Evil		Hell: The Sequel (Deluxe Edition)			303																			
Like I Love You	Justin Timberlake		Justified			283																			
Like I'm Gonna Lose You (feat. John Legend)	Meghan Trainor		Title (Special Edition)			225																			
Like You	Bow Wow		Like You (feat. Ciara) - EP			204																			
Lose Control	Teddy Swims		I've Tried Everything But Therapy (Part 1)			210																			
Lose My Mind (feat. Doja Cat) [From F1® The Movie]	Don Toliver		Lose My Mind (feat. Doja Cat) [From F1® The Movie] - Single			209																			
love is a mystery	slchld		love is a mystery - Single			219																			
Love Like This	Fujii Kaze		Prema			260																			
Love Me Harder	Ariana Grande & The Weeknd		My Everything			236																			
Love the Way You Lie, Pt. 2 (feat. Eminem)	Rihanna		Loud (Deluxe)			296																			
Made You Look	Meghan Trainor		Takin' It Back			134																			
Make It Better (feat. Smokey Robinson)	Anderson .Paak		Ventura			219																			
Man I Need	Olivia Dean		The Art of Loving			184																			
Margarita (Featuring Pharrell & Big Boi)	Sleepy Brown featuring Pharrell & Big Boi		Mr. Brown			287																			
mood swings	Henry Moodie		mood swings			125																			
Moonlight	Kali Uchis		Red Moon In Venus			187																			
Moonlit Floor	LISA		Moonlit Floor (Kiss Me) - Single			155																			
morethanwordscansay.	GRACE.		morethanwordscansay. - Single			252																			
Moves Like Jagger (feat. Christina Aguilera)	Maroon 5		Hands All Over			201																			
Mr. Brightside	The Killers		Direct Hits			223																			
My Universe	Coldplay X BTS		My Universe - Single			228																			
Mystical Magical	Benson Boone		American Heart			165																			
Never Say Never (feat. Jaden) [Single Version]	Justin Bieber		old summer vibes			227																			
Night Changes	One Direction		FOUR (Deluxe)			226																			
Nobody Gets Me	SZA		SOS			180																			
